		d	0000	0001	0010	0011	0100	0101	0110	0111	1000	1001	1010	1011	1100	1101	1110	1111	
k=0000,f(d)	1101	0011	1100	0001	1111	1110	1001	0010	0000	0111	1011	0101	0110	1000	0100	1010	
k=0001,f(d)	1011	0000	0110	1010	0111	0101	0010	1000	0011	1100	1001	0001	1111	0100	1110	1101	
k=0010,f(d)	1111	1000	0110	0011	1100	1001	1110	1010	0000	0101	0001	0010	0100	0111	1101	1011	
k=0011,f(d)	1001	1110	1010	0000	0010	0100	0101	0001	1011	0011	0111	1100	1111	1000	0110	1101	
k=0100,f(d)	1110	0001	1000	1010	0101	0000	1001	1111	0010	0100	1101	1100	1011	0110	0011	0111	
k=0101,f(d)	1000	1011	0001	0000	0111	1010	1111	1101	0101	0011	1100	0110	0100	1001	1110	0010	
k=0110,f(d)	1000	0000	1111	1110	0110	0100	1001	1010	1101	1011	0001	1100	0101	0010	0111	0011	
k=0111,f(d)	0001	1011	0000	1111	1110	1010	0100	0011	1001	1101	0010	1000	0101	1100	0110	0111	
k=1000,f(d)	1101	0010	1100	1111	1001	1110	0110	1010	1011	0000	0011	0100	0101	0001	1000	0111	
k=1001,f(d)	1011	0001	0110	1111	0000	1100	1010	1000	0011	0101	0111	0010	0100	1101	1001	1110	
k=1010,f(d)	1010	1001	1110	1011	0111	0000	0010	1101	0100	1000	0110	0011	0101	1100	0001	1111	
k=1011,f(d)	1101	0001	1010	0000	0011	1110	1100	0111	0010	1001	0100	1000	1111	0110	1011	0101	
k=1100,f(d)	1011	1000	0101	0111	1101	0011	0000	1100	0100	1010	0110	0010	0001	1111	1110	1001	
k=1101,f(d)	1101	0000	1000	1100	0011	0001	1110	1011	1001	0010	1010	0111	0110	0101	0100	1111	
k=1110,f(d)	1110	1111	1010	0111	0101	0100	1101	0110	1100	1001	0011	1011	0000	0001	1000	0010	
k=1111,f(d)	1100	0000	0010	0001	1101	1000	0011	0100	1111	0110	1010	1110	0101	1001	1011	0111	
